generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
68,61932.000000,38068.000000,7,64529.444112,121113692.641397,1885.171849,1.992416,1,6,2,0.011426
69,65312.000000,34688.000000,14,48263.630664,469196612.365129,645.181496,2.153606,1,6,2,0.010081
70,62897.000000,37103.000000,12,48609.129204,346360677.506574,682.267701,1.684022,1,6,3,0.011287
71,98097.000000,1903.000000,49,75043.824996,49618705.263479,707.627553,2.433425,1,6,0,-0.000000
72,68634.000000,31366.000000,17,46743.121498,512398211.769365,493.644670,2.610684,1,5,3,0.014452
73,75130.000000,24870.000000,25,216211.056972,1936785808.370611,2954.269022,0.447509,1,5,3,0.020412
74,79339.000000,20661.000000,31,216533.137298,1688959215.766907,2361.616075,0.480558,1,5,3,0.024596
75,72384.000000,27616.000000,24,217743.070127,1931755070.412817,3101.259244,0.516261,1,5,2,0.018401
76,85153.000000,14847.000000,36,231598.240807,1683196521.621780,2692.910834,0.437084,1,5,3,0.011202
77,82405.000000,17595.000000,30,234585.011439,1682479244.362901,2623.613180,0.479182,1,5,2,0.014222
78,66168.000000,33832.000000,20,225407.364155,1588405927.911768,3965.775267,0.367042,1,5,3,0.025903
79,77176.000000,22824.000000,24,229732.647097,1895583614.355018,2656.187283,0.481199,1,5,3,0.015970
80,66695.000000,33305.000000,17,218427.862726,1856652499.910427,3429.292254,0.429610,1,5,3,0.021495
81,74115.000000,25885.000000,27,229612.563728,1825070968.587248,3163.111001,0.421090,1,5,3,0.030677
82,70125.000000,29875.000000,23,224175.200778,2374601259.153951,3238.686324,0.419051,1,5,3,0.023130
83,71920.000000,28080.000000,19,231626.737200,2066662035.949804,3308.689498,0.418246,1,5,3,0.015511
84,83931.000000,16069.000000,38,230746.543811,1907713842.310284,2631.142034,0.440421,1,5,2,0.011182
