generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1147,73741.000000,26259.000000,22,127408.734199,465610674.794814,1698.703422,1.104654,0,0,1,0.009569,28
1148,77124.000000,22876.000000,28,112783.729230,327620093.857883,1392.942243,1.083003,0,0,1,0.007623,22
1149,66865.000000,33135.000000,19,115791.242717,342435207.449490,1814.343722,0.798146,0,0,1,0.018028,31
1150,73506.000000,26494.000000,25,108578.905358,240285268.081006,1379.417219,0.882989,0,0,1,0.017690,25
1151,71698.000000,28302.000000,21,104719.375511,798945011.256327,1409.633687,1.019936,0,0,1,0.011582,29
1152,78039.000000,21961.000000,29,134406.169063,641749221.289035,1532.447806,0.878536,0,0,1,0.008572,21
1153,74257.000000,25743.000000,22,114445.027831,351798739.899999,1471.323234,0.885355,0,0,1,0.009963,28
1154,72902.000000,27098.000000,23,116377.919408,798471074.726496,1412.502694,0.891243,0,0,1,0.017188,27
1155,75149.000000,24851.000000,27,120807.843591,184367733.241441,1306.864191,0.905210,0,0,3,0.011202,23
1156,73950.000000,26050.000000,24,122018.992769,341665481.043834,1521.970696,0.971055,0,0,1,0.009889,26
1157,61826.000000,38174.000000,17,110108.449970,305760840.517201,1713.781491,0.857106,0,0,1,0.017251,33
1158,74322.000000,25678.000000,23,116223.297836,290460348.493469,1471.729925,1.044672,0,0,1,0.010035,27
1159,72537.000000,27463.000000,23,114817.311453,525884840.577812,1556.203997,0.935166,0,0,1,0.007350,27
1160,80928.000000,19072.000000,27,127384.188454,428068659.810139,1432.059450,1.005570,0,0,1,0.016035,23
1161,75832.000000,24168.000000,27,118543.137314,706132026.431442,1465.017183,1.038187,0,0,1,0.012770,23
1162,80279.000000,19721.000000,29,145904.048499,1043631680.742352,1676.278754,1.001911,0,0,1,0.014338,21
1163,72436.000000,27564.000000,24,128450.932299,863585537.144540,1895.087736,1.027341,0,0,1,0.011225,26
1164,72053.000000,27947.000000,23,113631.648046,219413040.060064,1489.357814,0.820544,0,0,1,0.014566,27
1165,72415.000000,27585.000000,24,147075.166141,550610527.638546,1979.861995,0.672310,0,0,1,0.013044,26
1166,65900.000000,34100.000000,19,106262.035840,715718550.985563,1502.661338,0.992763,0,0,1,0.009904,31
1167,74560.000000,25440.000000,25,121521.639281,464825861.794163,1441.185664,0.888333,0,0,1,0.010082,25
1168,74313.000000,25687.000000,23,119776.522196,293100382.124937,1499.495632,0.893821,0,0,1,0.013800,27
1169,73709.000000,26291.000000,24,122936.927905,266846331.579078,1544.943003,0.776181,0,0,2,0.010303,26
1170,74114.000000,25886.000000,23,146670.902911,563401157.214110,1847.401393,0.835093,0,0,1,0.013939,27
1171,70626.000000,29374.000000,22,114865.636909,279827731.363572,1396.997210,0.856771,0,0,1,0.013025,28
1172,71325.000000,28675.000000,20,129858.717374,926844107.720641,1689.640404,0.812963,0,0,1,0.013113,30
1173,71980.000000,28020.000000,24,148751.312848,688924751.145762,1778.337735,0.683387,0,0,1,0.017331,26
1174,81124.000000,18876.000000,29,138824.595678,544763300.666417,1493.374732,0.890011,0,0,2,0.010758,21
1175,74020.000000,25980.000000,22,113024.453119,512345178.534983,1214.040038,1.004467,0,0,1,0.016891,28
1176,77973.000000,22027.000000,27,121141.783077,312407721.615708,1354.884302,0.885574,0,0,1,0.009312,23
1177,74109.000000,25891.000000,25,131641.543546,585353330.540035,1744.512775,1.055294,0,0,1,0.008319,25
1178,71374.000000,28626.000000,24,137724.239723,680413320.665748,1784.083361,0.917091,0,0,1,0.026619,26
1179,75115.000000,24885.000000,26,127780.756342,300881011.598574,1406.063288,0.851758,0,0,2,0.013185,24
1180,74126.000000,25874.000000,24,146745.024593,581132514.973210,1782.081664,0.704200,0,0,1,0.015245,26
1181,71438.000000,28562.000000,21,121857.705531,587230226.418660,1522.261473,0.853681,0,0,1,0.013224,29
1182,70820.000000,29180.000000,23,149522.299529,639459164.581781,1923.764262,0.796685,0,0,2,0.012598,27
1183,79437.000000,20563.000000,27,164931.980943,647895945.585973,1839.744527,0.792569,0,0,1,0.011417,23
1184,73876.000000,26124.000000,27,134857.522860,401874454.126257,1468.820429,0.805020,0,0,1,0.011583,23
1185,96459.000000,3541.000000,47,173176.522642,1763535328.395455,1626.073574,0.983263,0,0,0,-0.000000,3
1186,69718.000000,30282.000000,18,153864.859977,950406451.285991,2029.855826,0.612955,0,0,1,0.018653,32
1187,73341.000000,26659.000000,26,140192.728897,417391816.617987,1698.079943,0.737276,0,0,2,0.014414,24
1188,77277.000000,22723.000000,27,161371.367882,627300228.753417,1900.303974,0.633506,0,0,1,0.013567,23
1189,73142.000000,26858.000000,24,135422.972506,663534492.059776,1778.009045,0.743172,0,0,1,0.013081,26
1190,80029.000000,19971.000000,29,161461.228939,730095741.469672,1858.580320,0.719572,0,0,1,0.017058,21
1191,79795.000000,20205.000000,28,139277.714247,509100405.094024,1621.922579,0.916051,0,0,1,0.014986,22
1192,71081.000000,28919.000000,24,142265.921417,666539158.852304,1874.569998,0.840280,0,0,1,0.016632,26
1193,76770.000000,23230.000000,26,164151.884819,881953639.472739,1837.912664,0.656773,0,0,2,0.011551,24
1194,78194.000000,21806.000000,28,138581.213291,442968695.418362,1756.953793,0.846754,0,0,1,0.010120,22
1195,71874.000000,28126.000000,25,146837.346711,724200600.470865,1958.527578,0.802528,0,0,2,0.012938,25
1196,70538.000000,29462.000000,22,153621.405525,557036813.373035,1945.830673,0.718682,0,0,1,0.009854,28
1197,72776.000000,27224.000000,24,159279.580705,1447764873.159228,2351.807867,0.811689,0,0,1,0.012461,26
1198,74889.000000,25111.000000,26,163970.102253,1484752070.978923,2043.565689,0.669419,0,0,1,0.015271,24
1199,83242.000000,16758.000000,33,168496.701463,1167496422.047560,1780.402554,0.896773,0,0,2,0.010027,17
1200,78793.000000,21207.000000,27,182196.032605,1122295098.729094,2271.093538,0.821109,0,0,1,0.013845,23
1201,75211.000000,24789.000000,28,156501.828847,1294555375.239840,2000.202365,0.905017,0,0,1,0.010778,22
1202,82753.000000,17247.000000,31,155471.640426,827705515.673657,1623.738671,0.802829,0,0,1,0.013496,19
1203,88447.000000,11553.000000,41,189119.657333,967761682.776470,1795.940502,0.636657,0,0,2,0.009886,9
1204,75681.000000,24319.000000,27,130910.150851,318122512.426071,1621.787553,1.064412,0,0,1,0.011918,23
1205,100000.000000,1.000000,50,201880.880842,1556798612.855355,1590.624955,0.703920,0,0,2,0.008552,0
1206,73564.000000,26436.000000,28,142636.981444,722429956.804510,1779.503317,0.788935,0,0,1,0.017982,22
1207,75561.000000,24439.000000,26,161040.028638,914090037.322319,1873.194326,0.642313,0,0,1,0.013949,24
1208,90114.000000,9886.000000,38,187246.412748,1242141062.077097,1841.308114,0.724347,0,0,2,0.009538,12
1209,71573.000000,28427.000000,23,129261.629640,460485226.362850,1884.891552,0.937044,0,0,1,0.012082,27
1210,77611.000000,22389.000000,29,158953.546891,1067136619.176429,1854.895849,0.775636,0,0,1,0.014668,21
1211,75724.000000,24276.000000,25,150307.659036,672853065.898115,1829.659164,0.710888,0,0,1,0.012633,25
1212,78207.000000,21793.000000,26,153470.050317,1375152173.037570,1934.938434,0.932697,0,0,1,0.014378,24
1213,77285.000000,22715.000000,30,168273.085230,1446057683.476677,1976.032412,0.815109,0,0,1,0.012958,20
1214,74642.000000,25358.000000,25,147529.787705,494840321.497433,1796.747297,0.658460,0,0,1,0.019432,25
1215,86082.000000,13918.000000,34,159706.675789,949566051.878299,1719.145391,1.130184,0,0,1,0.012825,16
1216,72278.000000,27722.000000,23,122383.755280,536011814.007659,1476.196502,0.866355,0,0,3,0.015929,27
1217,85415.000000,14585.000000,36,183675.100247,1458073587.463546,1782.801358,0.713683,0,0,1,0.010007,14
1218,79174.000000,20826.000000,29,128072.242425,381165409.550999,1328.585746,1.045888,0,0,1,0.010137,21
1219,76596.000000,23404.000000,28,146112.931644,1467827677.620943,1887.005465,0.687489,0,0,2,0.009936,22
1220,69173.000000,30827.000000,18,99710.077347,178710292.873511,1233.847070,0.963031,0,0,1,0.011608,32
1221,79818.000000,20182.000000,28,133915.834396,385408312.033145,1443.849294,0.908168,0,0,1,0.010782,22
1222,74059.000000,25941.000000,22,104308.289667,238713582.545867,1331.023641,1.054880,0,0,1,0.011819,28
1223,76114.000000,23886.000000,27,115748.697418,399592699.206931,1414.280010,1.031605,0,0,1,0.012156,23
1224,78861.000000,21139.000000,28,165697.059714,839534075.436250,1919.286242,0.866208,0,0,1,0.006602,22
1225,84185.000000,15815.000000,34,155642.110484,754970340.299086,1339.117064,0.875076,0,0,2,0.006157,16
1226,80109.000000,19891.000000,29,159431.661716,638307596.617446,1948.265626,0.850073,0,0,1,0.007550,21
1227,83874.000000,16126.000000,35,168714.130457,936652895.794668,1754.411845,0.845652,0,0,1,0.010303,15
1228,75839.000000,24161.000000,27,185908.567951,949312100.722470,2057.561296,0.677770,0,0,1,0.014772,23
1229,72522.000000,27478.000000,23,193831.320089,1420161670.012967,2306.191839,0.597437,0,0,1,0.021395,27
1230,80041.000000,19959.000000,30,201931.354451,1829562543.802421,2643.072192,0.730448,0,0,1,0.013192,20
1231,89595.000000,10405.000000,41,225664.980731,1823987300.679968,2035.249139,0.511803,0,0,2,0.006040,9
1232,73823.000000,26177.000000,25,198171.795942,1879879182.492780,2322.995708,0.561380,0,0,1,0.015222,25
1233,76428.000000,23572.000000,29,181568.004383,2553609999.772801,2041.653242,0.698401,0,0,1,0.016315,21
1234,74863.000000,25137.000000,26,199398.814647,1439611144.937736,2459.385330,0.595044,0,0,1,0.014113,24
1235,95236.000000,4764.000000,46,230604.483872,1604005334.584738,2002.823198,0.598050,0,0,0,-0.000000,4
1236,74077.000000,25923.000000,23,215158.206496,1543994553.958948,2657.172681,0.468284,0,0,1,0.012487,27
1237,74148.000000,25852.000000,24,212561.275708,1970071689.960283,2440.145754,0.543255,0,0,1,0.013550,26
1238,73016.000000,26984.000000,23,186963.904035,1095252024.890303,2242.797299,0.574987,0,0,1,0.017000,27
1239,70251.000000,29749.000000,20,204151.613763,1408409722.661357,3326.831627,0.490150,0,0,1,0.018816,30
1240,84641.000000,15359.000000,36,165699.297749,1689259548.201388,1762.245900,0.911319,0,0,1,0.010266,14
1241,75052.000000,24948.000000,27,227258.061156,1482779719.716245,2573.125088,0.513211,0,0,1,0.020748,23
1242,82536.000000,17464.000000,32,229858.201918,1953580860.491684,2411.677674,0.547940,0,0,1,0.011354,18
1243,65826.000000,34174.000000,16,217782.193782,1772105399.153699,3570.200254,0.362059,0,0,1,0.017510,34
1244,78014.000000,21986.000000,26,213611.957414,1536478186.869403,2425.856826,0.500194,0,0,1,0.022769,24
1245,65568.000000,34432.000000,15,207289.258324,1852642277.313515,3255.611144,0.418446,0,0,1,0.020769,35
1246,67771.000000,32229.000000,18,220455.167723,1790186527.396678,3861.227282,0.494564,0,0,1,0.022084,32
1247,72479.000000,27521.000000,24,218585.585883,2054236417.245057,2509.374602,0.471791,0,0,1,0.027941,26
1248,73394.000000,26606.000000,20,219984.506134,1781296657.765791,2765.695320,0.519121,0,0,1,0.016299,30
1249,73600.000000,26400.000000,22,219866.346205,1888417261.638515,3000.563634,0.414869,0,0,1,0.025782,28
1250,66326.000000,33674.000000,20,216109.291173,1700188333.412551,3031.805533,0.398114,0,0,1,0.025534,30
