generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1166,85729.000000,14271.000000,32,155780.583144,1045211556.353587,1312.879425,1.094910,3,2,1,0.013082,1820
1167,68408.000000,31592.000000,20,118980.096858,1031654091.412304,1516.752743,1.202634,3,2,1,0.019965,1700
1168,72291.000000,27709.000000,16,97559.900323,1221135664.251349,1133.257910,1.495296,3,2,1,0.014185,1660
1169,73471.000000,26529.000000,20,107820.663456,751996539.346025,1284.300864,1.236901,3,2,1,0.031882,1700
1170,78920.000000,21080.000000,30,156587.308272,855582734.736087,1775.858732,1.073068,3,2,1,0.013839,1800
1171,73113.000000,26887.000000,23,151670.670929,1002891542.255169,1987.675329,0.987823,3,2,1,0.013006,1730
1172,79120.000000,20880.000000,31,191081.532984,846687345.840848,2392.454826,0.762819,3,2,1,0.009639,1810
1173,69235.000000,30765.000000,18,107338.909263,1370786573.499779,1346.474420,1.226607,3,2,1,0.016499,1680
1174,72647.000000,27353.000000,21,133593.088584,622882141.779594,1550.701386,0.928498,3,2,1,0.012038,1710
1175,89425.000000,10575.000000,37,187185.492599,695592952.372794,1799.480293,0.967824,3,2,1,0.009843,1870
1176,75340.000000,24660.000000,23,145380.503094,764944500.436477,1793.572502,1.364469,3,2,1,0.025545,1730
1177,71156.000000,28844.000000,17,100503.286868,1230850005.795047,1158.381108,1.779597,3,2,1,0.015911,1670
1178,72358.000000,27642.000000,22,168159.818126,638964605.019477,1910.208344,0.857216,3,2,1,0.017503,1720
1179,69572.000000,30428.000000,19,137153.089167,545345388.777340,1926.404063,1.001275,3,2,1,0.021378,1690
1180,66738.000000,33262.000000,17,135050.283758,724891291.605345,1789.640648,0.962832,3,2,1,0.016891,1670
1181,64114.000000,35886.000000,18,100744.931315,528042119.391487,1468.985146,1.172607,3,2,1,0.022411,1680
1182,71523.000000,28477.000000,22,152099.891550,374413755.951825,2103.916841,0.908598,3,2,1,0.019952,1720
1183,69553.000000,30447.000000,21,152896.493333,763075823.188597,2124.074379,0.791816,3,2,1,0.013583,1710
1184,74551.000000,25449.000000,25,174605.463467,1015307621.522350,2085.992341,0.848776,3,2,1,0.018461,1750
1185,70665.000000,29335.000000,22,135853.328098,467180535.811605,1437.532487,0.825199,3,2,1,0.017265,1720
1186,71559.000000,28441.000000,19,135836.415797,587843178.885755,1899.371423,1.034214,3,2,1,0.015786,1690
1187,67706.000000,32294.000000,17,130894.589959,772222278.439185,1831.699246,1.039474,3,2,1,0.019634,1670
1188,75945.000000,24055.000000,24,154842.528769,1469166562.611166,1794.206110,1.119564,3,2,1,0.012933,1740
1189,77205.000000,22795.000000,27,149906.608730,746722800.031529,1743.368000,1.084813,3,2,1,0.014947,1770
1190,76848.000000,23152.000000,24,182600.813107,821529745.695116,1970.459740,0.754638,3,2,1,0.019251,1741
1191,69914.000000,30086.000000,20,173302.228385,748189491.595607,2503.303978,0.651371,3,3,1,0.013654,1700
1192,73368.000000,26632.000000,21,172582.315836,651734323.167086,2313.719644,0.832333,3,3,1,0.019902,1716
1193,69092.000000,30908.000000,21,124365.835452,805763915.195636,1593.190190,0.981903,4,2,1,0.018960,1710
1194,66602.000000,33398.000000,19,110239.290517,749925837.481495,1484.614658,0.839072,4,2,1,0.018307,1690
1195,73303.000000,26697.000000,24,147801.466335,572198332.667673,1523.840786,0.695944,4,2,1,0.008839,1740
1196,67842.000000,32158.000000,19,113182.274024,311462138.268884,1567.472688,0.932572,4,2,1,0.018049,1690
1197,74381.000000,25619.000000,24,154351.031856,794336625.741433,1660.865015,0.767229,4,2,1,0.011651,1741
1198,76840.000000,23160.000000,25,132899.919382,496121120.297483,1555.224818,0.955049,4,2,1,0.014816,1750
1199,70400.000000,29600.000000,19,151768.349057,1491731754.553728,1777.732148,0.883507,4,2,2,0.024048,1690
1200,77402.000000,22598.000000,26,148601.123606,523530406.990258,1557.747844,0.750211,4,2,1,0.015159,1762
